Date,Close,High,Low,Open,Volume
2023-10-25,3115.03955078125,3147.1078003867246,3103.1860758536272,3115.407006485019,1518537
2023-10-26,3066.017822265625,3099.969784152135,3059.815493562458,3094.778295044471,1984471
2023-10-27,3079.066162109375,3089.219650502849,3066.2480588126136,3078.193286491536,1108851
2023-10-30,3104.426513671875,3108.3776718312,3063.261381474391,3078.1929142674794,910972
2023-10-31,3095.42138671875,3123.2170073341836,3078.2386842955907,3123.2170073341836,999811
2023-11-01,3060.412841796875,3098.0404842339485,3042.3572624846965,3082.787259328347,1563475
2023-11-02,3087.473388671875,3102.037240795796,3071.944460658224,3071.944460658224,1245384
2023-11-03,3079.01953125,3113.017479853767,3072.9551669090106,3107.596275079441,1402598
2023-11-06,3105.98876953125,3117.0611210828984,3086.4629174929278,3101.164735498253,1099852
2023-11-07,3096.983642578125,3127.949299700163,3092.8947446003413,3103.921107326189,1191144
2023-11-08,3107.18310546875,3125.927832295336,3096.1567427867762,3097.902493811986,992899
2023-11-09,3075.849609375,3116.325591826509,3070.887836157488,3115.039272646239,2112352
2023-11-10,3062.98583984375,3075.8499303163658,3052.7865884253365,3067.166714113737,1338557
2023-11-13,3061.239501953125,3083.705667927278,3057.058628484521,3083.705667927278,1030990
2023-11-15,3128.0869140625,3136.0809812784887,3083.7517522263774,3108.607053624718,2059802
2023-11-16,3214.046875,3242.991076076638,3137.183806430668,3151.7478830543773,3951984
2023-11-17,3218.273193359375,3238.5341769694555,3209.1765350847563,3214.046556157104,2021292
2023-11-20,3234.031982421875,3247.1715506735513,3207.982113123897,3207.982113123897,1475621
2023-11-21,3225.394775390625,3251.904078434434,3216.941275630958,3234.0322273250904,1807236
2023-11-22,3243.72607421875,3246.023233095817,3198.6559965162287,3216.022427894088,1798051
2023-11-23,3223.60302734375,3256.4523990326375,3216.022403107853,3243.588309420206,2729804
2023-11-24,3176.603271484375,3220.2033021073066,3172.835841192993,3210.738962666845,1989733
2023-11-28,3188.594482421875,3198.7939582765516,3154.4587888727906,3176.6034917170814,1689195
2023-11-29,3228.65673828125,3232.5619082955354,3193.7859120788967,3198.5639575829327,1441634
2023-11-30,3204.62841796875,3231.321223058578,3198.5638291631694,3215.5168157957996,3266235
2023-12-01,3226.727294921875,3231.5973169040535,3206.8799756151684,3216.022623635975,1172141
2023-12-04,3227.462158203125,3259.9440736924166,3214.184625072852,3257.0495189763487,1625213
2023-12-05,3245.05859375,3250.9392307206267,3218.595278718338,3250.9392307206267,1377656
2023-12-06,3311.676025390625,3319.7160810042337,3239.1315727028823,3245.97728523371,1896572
2023-12-07,3321.599609375,3335.979957891831,3300.282020829863,3312.502950367504,1967653
2023-12-08,3332.442138671875,3349.257385225396,3309.7922436184076,3338.231023463337,1641155
2023-12-11,3347.328125,3356.6087371102208,3321.6919202445793,3328.950852965452,1102503
2023-12-12,3374.158935546875,3398.324867473977,3336.3935538659134,3343.698474230384,2236866
2023-12-13,3301.98193359375,3353.851732647353,3273.9106091568547,3347.925108013577,3850968
2023-12-14,3369.702392578125,3379.580175854481,3333.269542133453,3335.4747249461025,3290396
2023-12-15,3547.73193359375,3579.8461676911347,3369.1967126856007,3369.1967126856007,8531230
2023-12-18,3546.078857421875,3610.2155905603763,3519.3858212330642,3545.0682419193445,2521612
2023-12-19,3506.56689453125,3542.310819797178,3482.4927153495696,3533.030208580236,2004435
